yearmo,SENT,SENT_ORTH,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
196006,,,19.20331383,30.6,40,,0.239999995,23.23010063,44.5,131.5,154.1000061,1,54348,29.61000061
196007,,,19.78039169,10.4,17,,0.239999995,23.14949989,44.90000153,132.1999969,154.3000031,1,54306,29.54999924
196008,,,34.58799744,27.5,23,,0.239999995,23.12260056,45.79999924,131.3999939,154.3999939,1,54272,29.61000061
196009,,,36.10268021,18.1,20,,0.239999995,22.88059998,47.09999847,131.1000061,155.1000061,1,54227,29.61000061
196010,,,50.40392685,12.6,27,,0.219999999,22.85370064,46.70000076,132.6000061,156.1000061,1,54142,29.75
196011,,,53.16447449,7.4,38,,0.209999993,22.53109932,45.09999847,133.1000061,157.1999969,1,53961,29.78000069
196012,,,56.25150299,25,16,,0.200000003,22.10090065,42.29999924,131.5,157.3999939,1,53742,29.80999947
196101,,,55.50891876,29.9,11,,0.209999993,22.12779999,41.59999847,132.3000031,158.3000031,1,53683,29.84000015
196102,,,45.88464355,74.9,27,,0.200000003,22.10090065,41.90000153,133.3000031,158.5,1,53557,29.84000015
196103,,,42.63342285,70.7,25,,0.200000003,22.23530006,43.20000076,134.6000061,159.8999939,0,53659,29.84000015
196104,,,53.06048584,71.1,27,,0.25999999,22.69239998,42.70000076,133.8999939,161,0,53627,29.80999947
196105,,,51.10762024,44.7,42,,0.25,23.04190063,43.5,134.3000031,162.1000061,0,53786,29.84000015
196106,,,50.9462738,22.8,29,,0.239999995,23.36459923,43.79999924,134.5,162.5,0,53977,29.84000015
196107,,,51.32378387,16.7,29,,0.25,23.63339996,44.09999847,133.8999939,162.5,0,54123,29.92000008
196108,,,53.72909546,23.8,50,,0.25,23.8484993,44.59999847,134.6000061,162.8999939,0,54298,29.94000053
196109,,,54.38833237,5.6,37,,0.25999999,23.82169914,45,135.3000031,164.1000061,0,54388,29.97999954
196110,,,55.80964279,14.5,53,,0.270000011,24.27869987,45.59999847,135.3000031,165.6000061,0,54522,29.97999954
196111,,,54.73367691,20.5,53,,0.270000011,24.65509987,46.70000076,136.3000031,166.8999939,0,54742,29.97999954
196112,,,54.75259399,13.9,52,,0.280000001,24.8701992,47.70000076,136.8999939,167.8000031,0,54872,30.01000023
196201,,,-36.76958847,16.2,40,,0.280000001,24.65509987,47.5,137.1999969,168.5,0,54891,30.04000092
196202,,,-29.12927246,4.1,31,,0.280000001,25.0583992,47.40000153,137.3999939,169.1999969,0,55188,30.11000061
196203,,,-29.12574577,2.4,50,,0.280000001,25.1928997,48.20000076,138.8999939,170.1999969,0,55275,30.17000008
196204,,,-10.15157413,-3.1,74,,0.239999995,25.2465992,48.40000153,139,171.6000061,0,55602,30.20999908
196205,,,-1.109759927,-13.4,40,,0.230000004,25.21969986,49.59999847,139.5,173,0,55628,30.23999977
196206,,,-4.495761395,1.2,5,,0.230000004,25.16600037,49.09999847,137.8000031,173.3999939,0,55644,30.20999908
196207,,,23.63805771,2.7,6,,0.219999999,25.40789986,49.20000076,138.1999969,174,0,55746,30.21999931
196208,,,16.48284912,3.6,7,,0.209999993,25.43479919,49,139.1999969,174.6999969,0,55838,30.28000069
196209,,,17.20119858,-0.4,17,,0.209999993,25.59620094,50.5,142.5,175.6999969,0,55978,30.42000008
196210,,,18.95266533,-13.4,7,,0.189999998,25.62310028,49,141,176.5,0,56041,30.37999916
196211,,,19.01383781,-7.8,11,,0.180000007,25.73060036,52.09999847,141.6999969,177.8999939,0,56056,30.37999916
196212,,,17.17990685,-11.4,10,,0.159999996,25.73060036,53.5,141.8000031,178.3000031,0,56028,30.37999916
196301,,,12.12926865,14.7,2,,0.159999996,25.91880035,53.09999847,142.8000031,178.6000061,0,56115,30.44000053
196302,,,10.60596943,-8.3,5,,0.159999996,26.21459961,52.40000153,141.8999939,179.1000061,0,56230,30.47999954
196303,,,8.126939774,6.3,7,,0.140000001,26.37590027,52.29999924,142.6999969,180,0,56320,30.51000023
