Date,Close/Last,Open,High,Low,RSI
2020-12-15,3694.62,3666.41,3695.29,3659.62,54.43961890902473
2020-12-16,3701.17,3696.25,3711.27,3688.57,55.200239780508575
2020-12-17,3722.48,3713.65,3725.12,3710.87,43.53410949677665
2020-12-18,3709.41,3722.39,3726.7,3685.84,41.03283327907034
2020-12-21,3694.92,3684.28,3702.9,3636.48,46.871403750253855
2020-12-22,3687.26,3698.08,3698.26,3676.16,46.97421981004068
2020-12-23,3690.01,3693.42,3711.24,3689.28,48.161740322331035
2020-12-24,3703.06,3694.03,3703.82,3689.32,39.2774644663185
2020-12-28,3735.36,3723.03,3740.51,3723.03,27.605327738333898
2020-12-29,3727.04,3750.01,3756.12,3723.31,28.31341505591213
2020-12-30,3732.04,3736.19,3744.63,3730.21,31.041456016178003
2020-12-31,3756.07,3733.27,3760.2,3726.88,22.18269165401439
2021-01-04,3700.65,3764.61,3769.99,3662.71,25.719915922228097
2021-01-05,3726.86,3698.02,3737.83,3695.07,27.203461318675437
2021-01-06,3748.14,3712.2,3783.04,3705.34,28.022424667133933
2021-01-07,3803.79,3764.71,3811.55,3764.71,30.183426138224803
2021-01-08,3824.68,3815.05,3826.69,3783.6,33.92544868844924
2021-01-11,3799.61,3803.14,3817.86,3789.02,35.589762054790526
2021-01-12,3801.19,3801.62,3810.78,3776.51,20.963592147464325
2021-01-13,3809.84,3802.23,3820.96,3791.5,21.93215339233059
2021-01-14,3795.54,3814.98,3823.6,3792.86,8.535882013677423
2021-01-15,3768.25,3788.73,3788.73,3749.62,11.10932389684227
2021-01-19,3798.91,3781.88,3804.53,3780.37,37.95900566942899
2021-01-20,3851.85,3816.22,3859.75,3816.22,41.29597197898431
2021-01-21,3853.07,3857.46,3861.45,3845.05,48.74387493194369
2021-01-22,3841.47,3844.24,3852.31,3830.41,48.69085541138999
2021-01-25,3855.36,3851.68,3859.23,3797.16,60.09847552315129
2021-01-26,3849.62,3862.96,3870.9,3847.78,64.52563347083073
2021-01-27,3750.77,3836.83,3836.83,3732.48,65.46435192988378
2021-01-28,3787.38,3755.75,3830.5,3755.75,65.50795387593634
2021-01-29,3714.24,3778.05,3778.05,3694.12,67.03155183515779
2021-02-01,3773.86,3731.17,3784.32,3725.62,61.38848099200503
2021-02-02,3826.31,3791.84,3843.09,3791.84,60.911445685607916
2021-02-03,3830.17,3840.27,3847.51,3816.68,58.85803676183031
2021-02-04,3871.74,3836.66,3872.42,3836.66,61.50388230486314
2021-02-05,3886.83,3878.3,3894.56,3874.93,62.173269768206445
2021-02-08,3915.59,3892.59,3915.77,3892.59,47.27565536369322
2021-02-09,3911.23,3910.49,3918.35,3902.64,52.72362615322903
2021-02-10,3909.88,3920.78,3931.5,3884.94,46.38828238719087
2021-02-11,3916.38,3916.4,3925.99,3890.39,63.07971327403056
2021-02-12,3934.83,3911.65,3937.23,3905.78,67.78447626224562
2021-02-16,3932.59,3939.61,3950.43,3923.85,61.08112528622827
2021-02-17,3931.33,3918.5,3933.61,3900.43,60.18465560911833
2021-02-18,3913.97,3915.86,3921.98,3885.03,58.54177301344221
2021-02-19,3906.71,3921.16,3930.41,3903.07,59.053861020082245
2021-02-22,3876.5,3885.55,3902.92,3874.71,65.30144167758858
2021-02-23,3881.37,3857.07,3895.98,3805.59,76.2345909600299
2021-02-24,3925.43,3873.71,3928.65,3859.6,69.26418680423558
2021-02-25,3829.34,3915.8,3925.02,3814.04,74.7866708190595
2021-02-26,3811.15,3839.66,3861.08,3789.54,69.78018774415476
2021-03-01,3901.82,3842.51,3914.5,3842.51,66.8977082168809
2021-03-02,3870.29,3903.64,3906.41,3868.57,61.95795795795797
2021-03-03,3819.72,3863.99,3874.47,3818.86,61.50057067339458
2021-03-04,3768.47,3818.53,3843.67,3723.34,57.96550141011344
2021-03-05,3841.94,3793.58,3851.69,3730.19,55.742006767488455
2021-03-08,3821.35,3844.39,3881.06,3819.25,61.299804049640855
2021-03-09,3875.44,3851.93,3903.76,3851.93,64.95597635990829
2021-03-10,3898.81,3891.99,3917.35,3885.73,62.51535249324496
2021-03-11,3939.34,3915.54,3960.27,3915.54,64.01155592241028
2021-03-12,3943.34,3924.52,3944.99,3915.21,56.19933102783601
2021-03-15,3968.94,3942.96,3970.08,3923.54,44.47854537031671
2021-03-16,3962.71,3973.59,3981.04,3953.44,48.08739748325296
2021-03-17,3974.12,3949.57,3983.87,3935.74,50.45707115970596
2021-03-18,3915.46,3953.5,3969.62,3910.86,57.76085930122765
2021-03-19,3913.1,3913.14,3930.12,3886.75,66.77036748979195
2021-03-22,3940.59,3916.48,3955.31,3914.16,67.4082313681869
2021-03-23,3910.52,3937.6,3949.13,3901.57,63.12113228356104
2021-03-24,3889.14,3919.93,3942.08,3889.07,62.66823792098242
2021-03-25,3909.52,3879.34,3919.54,3853.5,62.914356130622316
2021-03-26,3974.54,3917.12,3978.19,3917.12,58.52022361065433
